id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
1,Berlim,Bangkok,Bangkok,Tóquio,71,Nao,Cabine,Entregue,Normal,Normal,6304
2,Barcelona,Moscovo,São Paulo,São Paulo;Roma,28,Nao,Porão,Em trânsito,Normal,Normal,2289
3,Moscovo,Lisboa,Paris,,161,Sim,Porão,Perdida,Normal,Normal,5728
4,Porto,Los Angeles,Los Angeles,Madrid;Paris,26,Nao,Porão,Entregue,Normal,Atrasado,3326
5,Nova Iorque,Istambul,Istambul,,39,Nao,Porão,Entregue,Valiosa,Cancelado,2343
6,Porto,Barcelona,Barcelona,,38,Nao,Porão,Entregue,Frágil,Atrasado,4207
7,Barcelona,Buenos Aires,Buenos Aires,Paris;Lisboa,28,Nao,Cabine,Em trânsito,Normal,Atrasado,8891
8,Istambul,Berlim,Berlim,Cairo,69,Nao,Porão,Entregue,Valiosa,Cancelado,8335
9,Dubai,Auckland,Auckland,,17,Nao,Porão,Entregue,Normal,Normal,6284
10,Sydney,Los Angeles,Funchal,Roma;Bangkok,138,Sim,Porão,Perdida,Frágil,Atrasado,2689
11,Moscovo,Sydney,Funchal,Berlim;Paris;Hong Kong,164,Sim,Porão,Perdida,Normal,Normal,4950
12,Bangkok,Auckland,Auckland,Moscovo,30,Nao,Cabine,Em trânsito,Normal,Atrasado,9968
13,Tóquio,Berlim,Berlim,Auckland;Hong Kong;Nova Iorque,20,Nao,Porão,Entregue,Normal,Normal,9761
14,Hong Kong,Los Angeles,Los Angeles,Moscovo,25,Nao,Porão,Entregue,Valiosa,Cancelado,4379
15,London,Los Angeles,Los Angeles,London;Hong Kong;Porto,17,Nao,Cabine,Entregue,Normal,Atrasado,9654
16,Buenos Aires,Roma,Roma,Rio de Janeiro;Auckland,62,Nao,Porão,Entregue,Frágil,Atrasado,5729
17,Cairo,Sydney,Sydney,Cairo,24,Nao,Porão,Entregue,Normal,Atrasado,8778
18,Berlim,Moscovo,Moscovo,Auckland;Roma,15,Nao,Porão,Entregue,Frágil,Cancelado,9137
19,Bangkok,Nova Iorque,Bangkok,Hong Kong,182,Sim,Porão,Perdida,Normal,Normal,5288
20,Hong Kong,Moscovo,Bangkok,Barcelona;Lisboa,129,Sim,Porão,Perdida,Frágil,Normal,3452
21,Paris,Nova Iorque,Porto,Dubai;Porto,28,Sim,Porão,Em trânsito,Frágil,Atrasado,4362
