id,origem,destino,localizacao,tempo_desde_ultimo_scan,alertas_sistema,estado,tipo_bagagem,status_voo,numero_escalas,distancia_percorrida
1,Aeroporto C,Aeroporto B,Paris,135,Sim,Perdida,Frágil,Atrasado,0,797
2,Aeroporto B,Aeroporto C,Lisboa,111,Sim,Perdida,Normal,Atrasado,0,501
3,Aeroporto B,Aeroporto C,Paris,26,Nao,Entregue,Frágil,Normal,0,965
4,Aeroporto B,Aeroporto C,Porto,156,Sim,Perdida,Normal,Cancelado,0,511
5,Aeroporto C,Aeroporto A,Lisboa,118,Sim,Perdida,Normal,Cancelado,1,1356
6,Aeroporto C,Aeroporto B,Porto,186,Sim,Perdida,Frágil,Atrasado,1,566
7,Aeroporto A,Aeroporto B,Lisboa,176,Sim,Perdida,Normal,Cancelado,1,814
8,Aeroporto B,Aeroporto A,Lisboa,10,Nao,Entregue,Normal,Normal,0,939
9,Aeroporto B,Aeroporto C,Porto,25,Nao,Entregue,Frágil,Normal,1,675
10,Aeroporto B,Aeroporto A,Lisboa,153,Sim,Perdida,Normal,Cancelado,1,810
11,Aeroporto A,Aeroporto C,Paris,173,Sim,Perdida,Normal,Cancelado,1,1067
12,Aeroporto A,Aeroporto B,Porto,154,Sim,Perdida,Normal,Cancelado,0,890
13,Aeroporto A,Aeroporto B,Lisboa,120,Sim,Perdida,Normal,Cancelado,0,667
14,Aeroporto A,Aeroporto B,Paris,192,Sim,Perdida,Frágil,Cancelado,0,661
15,Aeroporto C,Aeroporto B,Lisboa,24,Sim,Em trânsito,Valiosa,Atrasado,1,987
16,Aeroporto B,Aeroporto C,Porto,12,Sim,Em trânsito,Frágil,Atrasado,1,937
17,Aeroporto C,Aeroporto A,Lisboa,146,Sim,Perdida,Frágil,Atrasado,3,1873
18,Aeroporto A,Aeroporto C,Paris,197,Sim,Perdida,Frágil,Atrasado,2,1132
19,Aeroporto B,Aeroporto C,Paris,194,Sim,Perdida,Normal,Atrasado,0,548
20,Aeroporto B,Aeroporto A,Porto,168,Sim,Perdida,Normal,Cancelado,1,714
21,Aeroporto B,Aeroporto A,Porto,127,Sim,Perdida,Normal,Atrasado,0,887
22,Aeroporto C,Aeroporto B,Lisboa,125,Sim,Perdida,Frágil,Atrasado,0,801
23,Aeroporto C,Aeroporto A,Lisboa,20,Sim,Em trânsito,Frágil,Atrasado,1,1174
24,Aeroporto B,Aeroporto A,Paris,146,Sim,Perdida,Normal,Cancelado,1,731
25,Aeroporto C,Aeroporto A,Lisboa,163,Sim,Perdida,Frágil,Atrasado,1,1966
26,Aeroporto B,Aeroporto C,Paris,106,Sim,Perdida,Frágil,Normal,0,605
27,Aeroporto B,Aeroporto A,Paris,105,Sim,Perdida,Valiosa,Atrasado,0,657
28,Aeroporto B,Aeroporto A,Paris,40,Nao,Entregue,Normal,Normal,0,870
29,Aeroporto A,Aeroporto C,Porto,25,Sim,Em trânsito,Valiosa,Normal,2,1545
30,Aeroporto C,Aeroporto B,Porto,188,Sim,Perdida,Frágil,Cancelado,0,764
31,Aeroporto C,Aeroporto B,Lisboa,2,Nao,Em trânsito,Normal,Normal,1,932
32,Aeroporto C,Aeroporto B,Paris,188,Sim,Perdida,Normal,Cancelado,1,988
33,Aeroporto C,Aeroporto B,Porto,57,Nao,Entregue,Normal,Normal,0,595
34,Aeroporto B,Aeroporto A,Porto,132,Sim,Perdida,Frágil,Cancelado,0,750
35,Aeroporto B,Aeroporto C,Lisboa,11,Nao,Em trânsito,Normal,Atrasado,0,747
36,Aeroporto B,Aeroporto C,Lisboa,33,Sim,Em trânsito,Frágil,Normal,0,923
