id,origem,destino,localizacao,escalas,tempo_desde_ultimo_scan,alertas_sistema,lugar_bagagem,estado,tipo_bagagem,status_voo,distancia_percorrida
1,Rio de Janeiro,Sydney,Nova Iorque,,197,Sim,Cabine,Perdida,Normal,Normal,9580
2,Funchal,Roma,Porto,Dubai;Bangkok;Porto,31,Sim,Porão,Em trânsito,Frágil,Normal,453
3,Sydney,Tóquio,Tóquio,Bangkok;Madrid;Dubai,16,Nao,Cabine,Entregue,Frágil,Atrasado,557
4,Rio de Janeiro,Bangkok,Bangkok,Roma,40,Nao,Cabine,Entregue,Normal,Cancelado,1950
5,Dubai,Tóquio,Paris,São Paulo;Paris,16,Sim,Cabine,Em trânsito,Normal,Atrasado,9602
6,Los Angeles,Paris,Roma,London;Dubai;Tóquio,184,Sim,Cabine,Perdida,Normal,Atrasado,2649
7,London,Rio de Janeiro,Madrid,,135,Sim,Cabine,Perdida,Normal,Normal,4786
8,Rio de Janeiro,Los Angeles,Bangkok,Sydney;Paris,153,Sim,Porão,Perdida,Normal,Atrasado,634
9,São Paulo,Sydney,Sydney,,60,Nao,Cabine,Entregue,Normal,Normal,1705
10,London,Nova Iorque,Nova Iorque,,15,Nao,Porão,Entregue,Normal,Cancelado,4560
11,Paris,Sydney,Nova Iorque,,197,Sim,Cabine,Perdida,Valiosa,Atrasado,1155
12,Lisboa,São Paulo,Sydney,Sydney;Funchal;Madrid,19,Nao,Porão,Entregue,Frágil,Cancelado,2711
13,Funchal,Rio de Janeiro,Tóquio,Nova Iorque;Porto,124,Sim,Porão,Perdida,Normal,Atrasado,852
14,Porto,Funchal,Funchal,,31,Nao,Porão,Entregue,Normal,Cancelado,4944
15,Sydney,Madrid,Barcelona,,195,Sim,Porão,Perdida,Normal,Atrasado,1406
16,Roma,Los Angeles,Los Angeles,,20,Nao,Porão,Entregue,Normal,Atrasado,525
17,Tóquio,Bangkok,Barcelona,Barcelona;Dubai,49,Nao,Cabine,Entregue,Frágil,Cancelado,3748
18,São Paulo,Porto,Bangkok,Bangkok;Dubai;Barcelona,29,Sim,Porão,Em trânsito,Normal,Normal,7969
19,Barcelona,São Paulo,Nova Iorque,London;Sydney,147,Sim,Porão,Perdida,Frágil,Atrasado,3082
20,Paris,Rio de Janeiro,Rio de Janeiro,,68,Nao,Cabine,Entregue,Normal,Normal,3180
21,Barcelona,Funchal,Funchal,Roma;Dubai;Porto,54,Nao,Porão,Entregue,Normal,Atrasado,6068
22,Paris,Porto,Barcelona,Barcelona,33,Sim,Cabine,Em trânsito,Normal,Normal,389
23,Bangkok,Dubai,Los Angeles,Paris;Madrid,168,Sim,Cabine,Perdida,Normal,Atrasado,6278
24,Barcelona,Madrid,Funchal,Lisboa;Rio de Janeiro;São Paulo,172,Sim,Cabine,Perdida,Normal,Normal,1452
25,Porto,Tóquio,Sydney,São Paulo,103,Sim,Porão,Perdida,Frágil,Normal,2058
26,Bangkok,Nova Iorque,Sydney,Sydney,17,Sim,Porão,Em trânsito,Frágil,Normal,1911
27,Sydney,Lisboa,Bangkok,Paris,104,Sim,Porão,Perdida,Normal,Atrasado,6852
28,Porto,Nova Iorque,Rio de Janeiro,,198,Sim,Cabine,Perdida,Frágil,Normal,5234
29,Tóquio,São Paulo,Porto,Barcelona,181,Sim,Cabine,Perdida,Normal,Atrasado,8331
30,Lisboa,Barcelona,Dubai,Dubai;Tóquio,12,Sim,Cabine,Em trânsito,Normal,Normal,1755
31,Madrid,Paris,Sydney,Barcelona,155,Sim,Porão,Perdida,Normal,Atrasado,4286
32,Roma,Barcelona,Nova Iorque,London;Tóquio;Nova Iorque,11,Sim,Cabine,Em trânsito,Frágil,Atrasado,9991
